AN,TAB,one,two,Cluster,Cluster Number,Number of Items,Top Cluster Terms
1156,"OARSI Clinical Trials Recommendations: Design and conduct of implementation trials of interventions for osteoarthritis Rigorous implementation research is important for testing strategies to improve the delivery of effective osteoarthritis (OA) interventions. The objective of this manuscript is to describe principles of implementation research, including conceptual frameworks, study designs and methodology, with specific recommendations for randomized clinical trials of OA treatment and management. This manuscript includes a comprehensive review of prior research and recommendations for implementation trials. The review of literature included identification of seminal articles on implementation research methods, as well as examples of previous exemplar studies using these methods. In addition to a comprehensive summary of this literature, this manuscript provides key recommendations for OA implementation trials. This review concluded that to date there have been relatively few implementation trials of OA interventions, but this is an emerging area of research. Future OA clinical trials should routinely consider incorporation of implementation aims to enhance translation of findings. Published by Elsevier Ltd.",,,7,,,
1157,"Associations of occupational tasks with knee and hip osteoarthritis: the Johnston County Osteoarthritis Project OBJECTIVE: This cross-sectional study examined associations of occupational tasks with radiographic and symptomatic osteoarthritis (OA) in a community-based sample. METHODS: Participants from the Johnston County Osteoarthritis Project (n = 2729) self-reported the frequency of performing 10 specific occupational tasks at the longest job ever held (never/seldom/sometimes vs often/always) and lifetime exposure to jobs that required spending > 50% of their time doing 5 specific tasks or lifting 22, 44, or 110 pounds 10 times weekly. Multivariable logistic regression models examined associations of each occupational task separately with radiographic and symptomatic knee and hip OA, controlling for age, race, gender, body mass index, prior knee or hip injury, and smoking. RESULTS: Radiographic hip and knee OA were not significantly associated with any occupational tasks, but several occupational tasks were associated with increased odds of both symptomatic knee and hip OA: lifting > 10 pounds, crawling, and doing heavy work while standing (OR 1.4-2.1). More occupational walking and standing and less sitting were also associated with symptomatic knee OA, and more bending/twisting/reaching was associated with symptomatic hip OA. Exposure to a greater number of physically demanding occupational tasks at the longest job was associated with greater odds of both symptomatic knee and hip OA. CONCLUSION: Our results confirm an association of physically demanding occupational tasks with both symptomatic knee and hip OA, including several specific activities that increased the odds of OA in both joint groups. These tasks represent possibilities for identifying and targeting at-risk individuals with preventive interventions.",,,9,,,
1158,"Racial differences in knee osteoarthritis pain: potential contribution of occupational and household tasks OBJECTIVE: We examined whether occupational and household tasks contributed to differences in pain between African Americans and whites with radiographic knee osteoarthritis (OA). METHODS: Participants from the Johnston County Osteoarthritis Project self-reported the frequency (often/always vs never/seldom/sometimes) of performing 9 occupational tasks involving lower extremity joint loading at their longest job (N = 868) and current job (N = 273), as well as 8 household tasks ever performed (N = 811) and currently being performed (N = 767). The associations of the numbers of occupational or household tasks with the Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) pain subscale were first examined in simple linear regression models. If significantly associated with greater pain, each of these was included in adjusted linear regression models to examine whether the association of race with pain remained statistically significant. RESULTS: African Americans reported significantly greater WOMAC pain scores than whites. Exposures to more occupational tasks at the longest job and the current job were associated with greater WOMAC pain scores (p < 0.01). The association of race with greater pain scores remained statistically significant when controlling for occupational tasks at the longest job, but was reduced by 26% and no longer significant when controlling for the number of current occupational tasks. Exposures to an increasing number of household tasks were associated with lower pain scores and were not further analyzed. CONCLUSION: Current performance of physically demanding occupational tasks contributed to racial differences in pain severity among individuals with knee OA. Better workplace policies to accommodate OA-related limitations may help to reduce racial differences in pain.",,,9,,,
1159,"Comparison of pain measures among patients with osteoarthritis UNLABELLED: This study compared recalled average pain, assessed at the end of the day, with the average of real-time pain ratings recorded throughout the day among patients with osteoarthritis (OA). Participants (N = 157) with hand, hip, or knee OA completed electronic pain diaries on 1 weekend day and 1 weekday. Diaries included at least 7 pain ratings per day, immediately after waking and every 2 hours following, using a visual analog scale (VAS) scored as 1 to 100 (scores not seen by participants). At the end of each diary day, participants rated their average pain that day on the same VAS. Pearson correlations examined associations between recalled average pain and the average of real-time pain ratings that day. Mixed models, including interaction terms, examined whether associations between recalled and actual average pain ratings differed according to the following patient characteristics: joint site, age, race, gender, study enrollment site, and pain catastrophizing. Correlations between recalled and actual average pain ratings were r = .88 for weekdays and r = .86 for weekends (P < .0001). In mixed models, there were no significant interaction terms for any patient characteristics. In summary, patients with OA accurately recalled their average pain over a 1-day period, and this did not differ according to any patient characteristics examined. PERSPECTIVE: This study showed that patients with OA accurately recalled their average pain over a single-day period, and this did not differ according to patient characteristics. Results of this study indicate that end-of-day recall is a practical and valid method for assessing patients' average pain during a day. Published by Elsevier Inc.",,,9,,,
1160,"State of the evidence PURPOSE OF REVIEW: This review focuses on recent studies of osteoarthritis epidemiology, including research on prevalence, incidence, and a broad array of potential risk factors at the person level and joint level. RECENT FINDINGS: Studies continue to illustrate the high impact of osteoarthritis worldwide, with increasing incidence. Person-level risk factors with strong evidence regarding osteoarthritis incidence and/or progression include age, sex, socioeconomic status, family history, and obesity. Joint-level risk factors with strong evidence for incident osteoarthritis risk include injury and occupational joint loading; the associations of injury and joint alignment with osteoarthritis progression are compelling. Moderate levels of physical activity have not been linked to increased osteoarthritis risk. Some topics of high recent interest or emerging evidence for association with osteoarthritis include metabolic pathways, vitamins, joint shape, bone density, limb length inequality, muscle strength and mass, and early structural damage. SUMMARY: Osteoarthritis is a complex, multifactorial disease, and there is still much to learn regarding mechanisms underlying incidence and progression. However, there are several known modifiable and preventable risk factors, including obesity and joint injury; efforts to mitigate these risks can help to lessen the impact of osteoarthritis.",,,9,,,
1161,"Race and sex differences in willingness to undergo total joint replacement: the Johnston County Osteoarthritis Project OBJECTIVE: Using data from the community-based Johnston County Osteoarthritis Project, we examined race and sex variations in willingness to undergo, and perceptions regarding, total joint replacement (TJR). METHODS: Analyses were conducted for the total sample who participated in a followup measurement period from 2006-2010 (n = 1,522) and a subsample with symptomatic hip and/or knee osteoarthritis (sOA; n = 445). Participants indicated how willing they would be to have TJR (hip or knee) if their doctor recommended it; responses were categorized as ""definitely"" or ""probably"" willing versus ""unsure,"" ""probably not,"" or ""definitely not"" willing, or ""don't know."" Participants answered 7 questions regarding perceptions of TJR outcomes. Multivariable logistic regression models of willingness included participant characteristics (including socioeconomic status) and TJR perception variables that were associated with willingness at the P < 0.1 level in bivariate analyses. RESULTS: African Americans had lower odds of willingness to undergo TJR than whites in the total sample (adjusted odds ratio [OR] 0.47 [95% confidence interval (95% CI) 0.31-0.72]) and the sOA subsample (adjusted OR 0.42 [95% CI 0.25-0.69]). There were no sex differences in willingness. African Americans expected poorer TJR outcomes than whites, but sex differences were minimal; perceptions of TJR outcomes were not significantly associated with willingness. CONCLUSION: In this community sample, race differences in TJR willingness and perceptions were substantial, but sex differences were small. Perceptions of TJR did not appear to affect willingness or explain race differences in willingness. Copyright _ 2014 by the American College of Rheumatology.",,,9,,,
1162,"Performance of global assessments of hip, knee, and back symptom change The objective of this study is to compare patients' global assessments of change in knee, hip, and back symptoms with actual changes over time in pain, function, and radiographic severity. The participants (n_=_894, 80% female, mean age_=_66_years) completed two assessments (mean of 4_years apart) as part of a study on the genetics of generalized osteoarthritis. At both assessments, participants completed the Western Ontario and McMaster Universities OA Index (WOMAC), and radiographic severity was assessed for knees, hips, and low back. At the second assessment, participants described changes in knee, hip, and low back symptoms as worse, better, same, or never had symptoms. Analysis of covariance models examined mean changes in WOMAC scores and radiographic severity according to categories of the global assessment measures. Statistical significance was examined for linear trend. Mean WOMAC total, pain, and function scores decreased (indicating improvement) among participants who indicated joint symptoms were better, showed little change among those who reported symptoms were the same/never had symptoms, and increased among those who reported symptoms were worse. For all analyses except the comparison of WOMAC pain change according to global assessment of low back symptom change, there was a statistically significant linear trend (p_< _0.05). Patterns were similar for changes in radiographic severity, but the tests of linear trend were not statistically significant. Results support the concordance of these global assessments of joint symptom change with actual changes in self-reported symptoms. These global assessments may be useful for assessing change over time when baseline data are unavailable.",,,9,,,
1163,"Telephone-based self-management of osteoarthritis: A randomized trial BACKGROUND: Osteoarthritis is a leading cause of pain and disability, and self-management behaviors for osteoarthritis are underutilized. OBJECTIVE: To examine the effectiveness of a telephone-based self-management intervention for hip or knee osteoarthritis in a primary care setting. DESIGN: Randomized clinical trial with equal assignment to osteoarthritis self-management, health education (attention control), and usual care control groups. (ClinicalTrials.gov registration number: NCT00288912) SETTING: Primary care clinics in a Veterans Affairs Medical Center. PATIENTS: 515 patients with symptomatic hip or knee osteoarthritis. INTERVENTION: The osteoarthritis self-management intervention involved educational materials and 12 monthly telephone calls to support individualized goals and action plans. The health education intervention involved nonosteoarthritis educational materials and 12 monthly telephone calls related to general health screening topics. MEASUREMENTS: The primary outcome was score on the Arthritis Impact Measurement Scales-2 pain subscale (range, 0 to 10). Pain was also assessed with a 10-cm visual analog scale. Measurements were collected at baseline and 12 months. RESULTS: 461 participants (90%) completed the 12-month assessment. The mean Arthritis Impact Measurement Scales-2 pain score in the osteoarthritis self-management group was 0.4 point lower (95% CI, -0.8 to 0.1 point; P = 0.105) than in the usual care group and 0.6 point lower (CI, -1.0 to -0.2 point; P = 0.007) than in the health education group at 12 months. The mean visual analog scale pain score in the osteoarthritis self-management group was 1.1 points lower (CI, -1.6 to -0.6 point; P < 0.001) than in the usual care group and 1.0 point lower (CI, -1.5 to -0.5 point; P < 0.001) than in the health education group. Health care use did not differ across the groups. LIMITATION: The study was conducted at 1 Veterans Affairs Medical Center, and the sample consisted primarily of men. CONCLUSION: A telephone-based osteoarthritis self-management program produced moderate improvements in pain, particularly compared with a health education control group. PRIMARY FUNDING SOURCE: U.S. Department of Veterans Affairs Health Services Research and Development Service.",,,9,,,
1164,"Antiretroviral therapy provided to HIV-infected Malawian women in a randomized trial diminishes the positive effects of lipid-based nutrient supplements on breast-milk B vitamins BACKGROUND: Little information is available on B vitamin concentrations in human milk or on how they are affected by maternal B vitamin deficiencies, antiretroviral therapy, or maternal supplementation. OBJECTIVE: The objective was to evaluate the effects of antiretroviral therapy and/or lipid-based nutrient supplements (LNSs) on B vitamin concentrations in breast milk from HIV-infected women in Malawi. DESIGN: Breast milk was collected from 537 women recruited within the Breastfeeding, Antiretrovirals, and Nutrition study at 2 or 6 wk and 24 wk postpartum. Women were assigned to receive antiretrovirals and LNSs, antiretrovirals only, LNSs only, or a control. Antiretrovirals and LNSs were given to the mothers from weeks 0 to 28. The antiretrovirals were zidovudine/lamivudine and nelfinavir or lopinavir/ritonavir. LNSs provided 93-118% of the Recommended Dietary Allowances of thiamin, riboflavin, niacin, pyridoxine, and vitamin B-12. Infants were exclusively breastfed. RESULTS: LNSs increased milk concentrations of all vitamins except thiamin, whereas antiretrovirals lowered concentrations of nicotinamide, pyridoxal, and vitamin B-12. Although antiretrovirals alone had no significant effect on riboflavin concentrations, they negatively affected the LNS-induced increase in this vitamin. Thiamin was not influenced by the study interventions. Concentrations of all B vitamins were much lower than usually accepted values. CONCLUSIONS: All B vitamins were low in milk, and all but thiamin were increased by maternal supplementation with LNSs. Antiretrovirals alone decreased concentrations of some B vitamins in milk. When LNS was given in addition to antiretrovirals, the negative effect of antiretrovirals offset the positive effect of LNSs for all vitamins except thiamin. This trial was registered at clinicaltrials.gov as NCT00164762. _ 2015 American Society for Nutrition.",,,6,,,
1165,"Reducing cardiovascular disease in a rural community In this case report, we describe the one-year formative phase of a five-year study to develop, implement, and test a community health worker (CHW)-delivered cardiovascular disease (CVD) prevention intervention. The purpose of the formative phase was to engage community partners in the adaptation of an existing evidence-based CVD prevention intervention to fit the needs and preferences of a rural, predominantly African-American community. The formative work was guided by a framework for adapting evidence-based interventions and involved engaging stakeholders in assessing the intervention's fit with the local context and then applying assessment findings to iteratively adapt the intervention's contents, materials, and delivery methods. Findings from the formative work were then applied to develop CHW position descriptions, workflow diagrams, and a training plan. Findings also were applied to adapt intervention materials and protocols to fit the needs of the community. This case report illustrates how community-engaged formative work can be applied to adapt an evidence-based intervention to fit community needs and resources. _ 2019 Wiley Periodicals, Inc.",,,1,,,
1166,"Evaluating the implementation of peer counseling in a church-based dietary intervention for African Americans OBJECTIVE: Body & Soul, an evidence-based nutrition program for African Americans churches, is currently being disseminated nationally and free of charge by the National Cancer Institute. For dissemination feasibility, the peer counseling training is done via DVD rather than by live trainers. We describe implementation and process evaluation of the peer counseling component under real world conditions. METHODS: The study sample included 11 churches (6 early intervention, 5 delayed intervention) in 6 states. Data sources included training observations, post-training debriefing sessions, coordinator interviews, and church participant surveys. Survey data analysis examined associations between exposure to peer counseling and change in dietary intake. Qualitative data were analyzed using the constant comparative method. RESULTS: Eight of 11 churches initiated the peer counseling program. Recall of talking with a peer counselor was associated with significantly (p< .02) greater fruit and vegetable intake. Data indicate sub-optimal program execution after peer counselor training. CONCLUSION: Inconsistent implementation of the peer counseling intervention is likely to dilute program effectiveness in changing nutrition behaviors. PRACTICE IMPLICATIONS: Disseminating evidence-based programs may require added resources, training, quality control, and technical assistance for improving program uptake. Similar to earlier research phases, systematic efforts at the dissemination phase are needed for program success. (c) 2009 Elsevier Ireland Ltd. All rights reserved.",,,4,,,
1167,"Evaluating the dissemination of Body & Soul, an evidence-based fruit and vegetable intake intervention: challenges for dissemination and implementation research OBJECTIVE: To evaluate whether the evidence-based Body & Soul program, when disseminated and implemented without researcher or agency involvement and support, would achieve results similar to those of earlier efficacy and effectiveness trials. DESIGN: Prospective group randomized trial. SETTING: Churches with predominantly African American membership. PARTICIPANTS: A total of 1,033 members from the 15 churches completed baseline surveys. Of these participants, 562 (54.4%) completed the follow-up survey 6 months later. INTERVENTION: Church-based nutrition program for African Americans that included pastoral involvement, educational activities, church environmental changes, and peer counseling. MAIN OUTCOME MEASURE: Daily fruit and vegetable (FV) intake was assessed at pre- and posttest. ANALYSIS: Mixed-effects linear models. RESULTS: At posttest, there was no statistically significant difference in daily servings of FVs between the early intervention group participants compared to control group participants (4.7 vs 4.4, P = .38). Process evaluation suggested that added resources such as technical assistance could improve program implementation. CONCLUSIONS AND IMPLICATIONS: The disseminated program may not produce improvements in FV intake equal to those in the earlier efficacy and effectiveness trials, primarily because of a lack of program implementation. Program dissemination may not achieve public health impact unless support systems are strengthened for adequate implementation at the church level. Copyright _ 2012 Society for Nutrition Education and Behavior. Published by Elsevier Inc. All rights reserved.",,,4,,,
1168,"African American women's perspectives on breast cancer: implications for communicating risk of basal-like breast cancer African American women suffer a disproportionately high burden of basal-like breast cancer, an aggressive subtype that has no targeted therapy. While epidemiologic research has identified key prevention strategies, little is known about how best to communicate risk to this population. This study explored women's knowledge, beliefs, and attitudes about breast cancer to learn about risk perceptions. Six focus groups were conducted in North Carolina with 57 women (ages 18-49). Age, race (especially perceptions of cancer as a ""White disease""), and lack of family history of breast cancer were all shown to contribute to women's perceptions of low breast cancer susceptibility. Perceptions of low risk were also attributed to conflicting risk information from family, media, and health providers. Women had little to no knowledge of breast cancer subtypes, and emphasized that health communications should be personally relevant, culturally appropriate, and convenient. These findings will assist in developing health communication tools that encourage prevention.",,,3,,,
1169,"Peer Connect for African American breast cancer survivors and caregivers: a train-the-trainer approach for peer support Racial disparities in breast cancer survivorship are a major concern nationally. How survivors cope with cancer and re-frame their lives is a critical part of survivorship. Community-academic research partnerships may facilitate access to much-needed psychosocial support for African American survivors and caregivers in rural areas, but drivers of successful intervention implementation are not well understood. The purpose of this study was to describe the training and evaluation of Community Coaches and Guides (i.e., peer supporters) using the Peer Connect program for African American breast cancer survivors and caregivers. Community engagement strategies were used to implement the training component of Peer Connect, an evidence-based program grounded in the Diffusion of Innovation Theory utilizing motivational interviewing techniques (MI) and a ""train-the-trainer"" model. Quantitative and qualitative methods examined implementation outcomes of feasibility, MI fidelity, and acceptability-precursor outcomes that must be achieved before examining intervention impact vis-_-vis changes in support care. Training was feasible to implement and replicable by the trained Community Coaches. Beyond feasibility and replicability, success was modest regarding MI fidelity. Benefits (e.g., serving as role models and having safe sources of support) and lessons learned (e.g., need for additional quality control) were identified as both facilitators and barriers to implementation and as factors that could impact the effectiveness of community-engaged programs to improve survivorship outcomes. Peer Connect, like other programs that employ community-engagement strategies, holds promise to meet the psychosocial support needs of diverse rural cancer survivor populations.",,,3,,,
1170,"Pilot weight control intervention among US veterans to promote diets high in fruits and vegetables BACKGROUND: Obesity is a significant problem among US veterans. Diets high in fruits and vegetables (FV) can lower obesity risk. Health communication interventions are promising strategies for promoting healthy eating. We evaluated whether an enhanced intervention with tailored newsletters and motivational interviewing calls would be more effective than the Veterans Affairs (VA) weight management program, MOVE!, at increasing FV intake among overweight/obese veterans. METHODS: Using a quasi-experimental design, 195 veterans at two clinics participated at baseline and 6-month follow-up from 2005 to 2006. Measures included daily FV intake and information processing of the intervention. The control group (MOVE!) received educational information, group sessions, and standard phone calls about weight. The intervention included MOVE! components plus tailored newsletters and motivational interviewing calls. RESULTS: The intervention group reported a statistically significant increase in FV servings compared to control (1.7 vs. 1.2; p _ 0.05). Veterans who read more of the tailored newsletters (_=0.15, p=0.01) and perceived the messages as important (_=0.12, p< 0.01) and applicable to their lives (_=0.12, p< 0.01) ate more FV than those who did not. However, receiving MI calls and information processing regarding the calls were not associated with FV intake. CONCLUSION: A tailored intervention can impact short term FV intake for obesity prevention. Copyright _ 2010 Elsevier Inc. All rights reserved.",,,4,,,
1171,"Cuban Americans have the highest rates of peripheral arterial disease in diverse Hispanic/Latino communities OBJECTIVE: Because Hispanic ethnicity in the United States is heterogeneous, the purpose of this study was to determine the epidemiology of peripheral arterial disease (PAD) within U.S. Hispanic/Latino groups defined by national background. METHODS: This analysis included 9648 men and women older than 45 years enrolled in the Hispanic Community Health Study/Study of Latinos (HCHS/SOL). The ankle-brachial index (ABI) was computed as the higher of the posterior tibial and dorsalis pedis systolic blood pressures for each leg divided by the higher brachial artery systolic blood pressure. The index ABI was the higher of the two. An ABI _0.90 was the criterion for the presence of PAD. RESULTS: The mean age was 56 years, and 55% were female. Overall, the prevalence of an ABI _0.90 (PAD), 0.90 to 0.99 (borderline), 1.0 to 1.39 (normal), and _1.40 (high) was 5.7%, 19.3%, 72.5%, and 2.6%, respectively. After multivariable adjustment for PAD risk factors and compared with Mexicans, Cubans had a nearly threefold higher odds for PAD (odds ratio, 2.9; 95% confidence interval, 1.9-4.4). The odds of PAD for the other Hispanic/Latino groups ranged from 1.2 to 1.8. Although men had a more than threefold higher odds of an ABI _1.40 (3.6; 2.0-6.5), the odds did not differ significantly by Hispanic/Latino background. CONCLUSIONS: Compared with Mexican Americans, all other Hispanic/Latino background groups have a significantly higher odds of having PAD, with the odds being nearly threefold higher among Cubans. Copyright _ 2015 Society for Vascular Surgery. Published by Elsevier Inc. All rights reserved.",,,1,,,
1172,"Saturated fat intake and prostate cancer aggressiveness: results from the population-based North Carolina-Louisiana Prostate Cancer Project BACKGROUND: Epidemiologic and laboratory evidence supports a role for cholesterol in prostate cancer (PC). Dietary saturated fat content impacts serum cholesterol levels. However, epidemiologic associations between saturated fat and PC aggressiveness are inconsistent. We hypothesized that high saturated fat intake would be associated with increased PC aggressiveness, and that statin use would modify this association. METHODS: Of 1854 PC cases in the North Carolina-Louisiana PC Project, 321 (17%) were classified as high aggressive (Gleason sum _8, PSA>20__g__l-1, or Gleason sum _7 and clinical stage T3-4) or low/intermediate aggressive (all other cases). Using low/intermediate aggressive cases as the referent group, we examined the association between tertiles of total fat-adjusted saturated fat intake and high aggressive PC using logistic regression, overall and stratified by race and statin use. We examined total fat-adjusted polyunsaturated and monounsaturated fatty acids (PUFA and MUFA, respectively), trans fat and cholesterol intake in secondary analysis. RESULTS: High total fat-adjusted saturated fat intake was associated with an elevated odds ratio (OR) for aggressive PC (ORT3vsT1 1.51; 95% CI 1.10-2.06; P-trend=0.009), with an attenuated association in statin users (ORT3vsT1 1.16; 95% CI 0.67-2.01; P-trend=0.661) compared with non-users (ORT3vsT1 1.71; 95% CI 1.16-2.51; P-trend=0.053). High total fat-adjusted cholesterol intake was associated with aggressive PC in European Americans (ORT3vsT1 1.62; 95% CI 1.02-2.58; P-trend=0.056), but not African Americans (ORT3vsT1 0.92; 95% CI 0.60-1.42; P-trend=0.750). High total fat-adjusted PUFA was inversely associated with PC aggressiveness (ORT3vsT1 0.75; 95% CI 0.55-1.03), although this was not significant. No associations were found between total fat-adjusted MUFA or trans fat and PC aggressiveness. CONCLUSIONS: High total fat-adjusted saturated fat intake was associated with increased PC aggressiveness, with a suggestion of a stronger effect in men not using statins. The association between total fat-adjusted cholesterol intake and PC aggressiveness was most pronounced in European Americans.",,,4,,,
1173,"Performance of Three-Biomarker Immunohistochemistry for Intrinsic Breast Cancer Subtyping in the AMBER Consortium BACKGROUND: Classification of breast cancer into intrinsic subtypes has clinical and epidemiologic importance. To examine accuracy of IHC-based methods for identifying intrinsic subtypes, a three-biomarker IHC panel was compared with the clinical record and RNA-based intrinsic (PAM50) subtypes. METHODS: Automated scoring of estrogen receptor (ER), progesterone receptor (PR), and HER2 was performed on IHC-stained tissue microarrays comprising 1,920 cases from the African American Breast Cancer Epidemiology and Risk (AMBER) consortium. Multiple cores (1-6/case) were collapsed to classify cases, and automated scoring was compared with the clinical record and to RNA-based subtyping. RESULTS: Automated analysis of the three-biomarker IHC panel produced high agreement with the clinical record (93% for ER and HER2, and 88% for PR). Cases with low tumor cellularity and smaller core size had reduced agreement with the clinical record. IHC-based definitions had high agreement with the clinical record regardless of hormone receptor positivity threshold (1% vs. 10%), but a 10% threshold produced highest agreement with RNA-based intrinsic subtypes. Using a 10% threshold, IHC-based definitions identified the basal-like intrinsic subtype with high sensitivity (86%), although sensitivity was lower for luminal A, luminal B, and HER2-enriched subtypes (76%, 40%, and 37%, respectively). CONCLUSION: Three-biomarker IHC-based subtyping has reasonable accuracy for distinguishing basal-like from nonbasal-like, although additional biomarkers are required for accurate classification of luminal A, luminal B, and HER2-enriched cancers. IMPACT: Epidemiologic studies relying on three-biomarker IHC status for subtype classification should use caution when distinguishing luminal A from luminal B and when interpreting findings for HER2-enriched cancers. _2015 American Association for Cancer Research.",,,3,,,
1174,"Statin Use and Prostate Cancer Aggressiveness: Results from the Population-Based North Carolina-Louisiana Prostate Cancer Project BACKGROUND: Although statin use has been associated with reduced prostate cancer aggressiveness, the impact of race and patient characteristics on this association is not well understood. We examined the association between statin use and prostate cancer aggressiveness in Caucasians (CA) and African Americans (AA) and explored effect modification by health-seeking behaviors associated with statin use. METHODS: Of 1,930 cases from The North Carolina-Louisiana Prostate Cancer Project, 344 (18%) were classified as aggressive based on clinical criteria. Utilizing nonaggressive cases as referent, logistic regression was used to examine the association between statin use and prostate cancer aggressiveness, overall and stratified by race. Smoking and prostate cancer screening were examined as effect modifiers of this association. RESULTS: There was an inverse association between statin use and prostate cancer aggressiveness [OR, 0.74; 95% confidence interval (CI), 0.56-0.96], with comparable effect estimates in both races. Although not statistically significant, statin use was associated with reduced ORs for aggressive prostate cancer in never-screened men (OR, 0.79; 95% CI, 0.45-1.39), men screened at low/recommended frequency (_once/year; OR, 0.66; 95% CI, 0.41-1.06), and men screened at high frequency (>once/year; OR, 0.78; 95% CI, 0.53-1.15). Inverse associations between statins and aggressive prostate cancer were strongest in never smokers (OR, 0.42; 95% CI, 0.25-0.72), attenuated in former smokers (OR, 0.84; 95% CI, 0.59-1.19), and absent in current smokers (OR, 1.36; 95% CI, 0.70-2.64). CONCLUSIONS: Statin use was associated with reduced prostate cancer aggressiveness in CA and AAs, with strongest inverse associations in nonsmokers. IMPACT: Health-seeking behaviors associated with statin use should be considered when examining the impact of statins on prostate cancer aggressiveness. Cancer Epidemiol Biomarkers Prev; 25(4); 670-7. _2016 AACR. _2016 American Association for Cancer Research.",,,3,,,
1175,"Statin use, high cholesterol and prostate cancer progression; results from HCaP-NC BACKGROUND: Statin use is associated with lower advanced prostate cancer risk and reduced prostate cancer-specific mortality, but prior studies were conducted mainly in white men. We examined the effect of statin use on risk of prostate cancer progression in a population-based, minority-enriched cohort. METHODS: We used data from prostate cancer cases (45% African American) diagnosed between 2004 and 2007 who participated in the Health Care Access and Prostate Cancer Treatment in North Carolina cohort (HCaP-NC). We abstracted statin use at diagnosis. Men reported if they had ever been diagnosed with high cholesterol. Multivariable Cox proportional hazards analysis was used to examine associations between statin use and risk of prostate cancer progression (biochemical recurrence or secondary treatment), overall and by race. In secondary analysis, we examined the association between high cholesterol and risk of progression, overall, and by statin use. RESULTS: Of 669 men, 244 (36%) were statin users at diagnosis. During 3.8 years median follow-up, 138 men experienced prostate cancer progression. There was no association between statin use and risk of progression, either overall (HR 1.03; 95%CI 0.72-1.46) or stratified by race. High cholesterol was inversely associated with risk of progression, particularly among statin users (HR 0.43; 95%CI 0.20-0.94; p-interaction_=_0.22) and in men with higher perceived access to care (HR 0.57; 95%CI 0.36-0.90; p-interaction_=_0.03). Study limitations included a relatively small sample size, short follow-up, and lack of data regarding post diagnosis statin use. CONCLUSIONS: Statin use at diagnosis was not associated with prostate cancer progression in the population-based, minority-enriched HCaP-NC. Greater healthcare engagement, including actively controlling serum cholesterol, may be linked to better prostate cancer-specific outcomes. _ 2018 Wiley Periodicals, Inc.",,,3,,,
1176,"Frequency of breast cancer subtypes among African American women in the AMBER consortium BACKGROUND: Breast cancer subtype can be classified using standard clinical markers (estrogen receptor (ER), progesterone receptor (PR) and human epidermal growth factor receptor 2 (HER2)), supplemented with additional markers. However, automated biomarker scoring and classification schemes have not been standardized. The aim of this study was to optimize tumor classification using automated methods in order to describe subtype frequency in the African American Breast Cancer Epidemiology and Risk (AMBER) consortium. METHODS: Using immunohistochemistry (IHC), we quantified the expression of ER, PR, HER2, the proliferation marker Ki67, and two basal-like biomarkers, epidermal growth factor receptor (EGFR) and cytokeratin (CK)5/6, in 1381 invasive breast tumors from African American women. RNA-based (prediction analysis of microarray 50 (PAM50)) subtype, available for 574 (42%) cases, was used to optimize classification. Subtype frequency was calculated, and associations between subtype and tumor characteristics were estimated using logistic regression. RESULTS: Relative to ER, PR and HER2 from medical records, central IHC staining and the addition of Ki67 or combined tumor grade improved accuracy for classifying PAM50-based luminal subtypes. Few triple negative cases (< _2%) lacked EGFR and CK5/6 expression, thereby providing little improvement in accuracy for identifying basal-like tumors. Relative to luminal A subtype, all other subtypes had higher combined grade and were larger, and ER-/HER2+ tumors were more often lymph node positive and late stage tumors. The frequency of basal-like tumors was 31%, exceeded only slightly by luminal A tumors (37%). CONCLUSIONS: Our findings indicate that automated IHC-based classification produces tumor subtype frequencies approximating those from PAM50-based classification and highlight high frequency of basal-like and low frequency of luminal A breast cancer in a large study of African American women.",,,3,,,
